"9Online","9District","9Age","9Income","9Tenure","9Profit","0Profit"
0,1200,NA,NA,6.33,21,NA
0,1200,6,3,29.5,-6,-32
1,1100,5,5,26.41,-49,-22
0,1200,NA,NA,2.25,-4,NA
0,1200,2,9,9.91,-61,-4
0,1300,NA,3,2.33,-38,14
0,1300,3,1,8.41,-19,0
0,1200,5,8,7.33,59,-65
0,1200,4,9,15.33,493,855
0,1100,6,8,4.33,-158,-20
0,1200,6,3,13.5,395,67
0,1200,6,1,6.25,-62,-60
0,1200,7,6,17.41,-124,-128
0,1200,NA,NA,0.58,32,NA
0,1200,4,9,14.66,-28,71
0,1100,4,7,26.66,632,808
1,1200,3,8,9,-135,-120
0,1200,NA,5,9.41,-60,-60
0,1200,3,7,4.16,-92,-80
0,1200,4,8,22.16,68,1
0,1300,4,7,8.66,26,224
0,1200,NA,NA,2.41,-28,NA
0,1200,3,4,4.75,-6,-22
0,1100,NA,NA,6.83,43,42
0,1300,4,6,18.91,698,680
0,1200,NA,NA,1.66,-50,NA
0,1200,4,6,8.66,-27,-33
1,1200,NA,NA,6.33,-14,NA
0,1200,NA,NA,4.83,-36,NA
1,1300,4,3,22.5,14,NA
0,1200,6,7,8.41,-18,-21
0,1200,5,8,6.25,-130,-112
0,1200,7,3,14.08,-71,-28
0,1200,4,6,29.5,291,614
0,1200,4,NA,5,7,-19
0,1200,2,1,2.5,-32,1
0,1200,NA,NA,31.83,533,NA
0,1200,4,7,8.58,88,7
0,1200,NA,NA,4.33,-162,-83
0,1200,2,6,6.58,900,534
0,1200,NA,NA,13.83,383,NA
1,1300,4,4,20.41,-95,-111
1,1200,4,7,17.91,88,-116
0,1200,2,7,6.16,-49,259
0,1200,NA,NA,2.5,-8,-31
0,1200,5,6,8.75,32,63
0,1200,NA,NA,0.16,259,795
0,1200,6,9,1.16,512,-45
0,1200,NA,NA,1.66,-27,NA
0,1100,NA,NA,40,-1,37
0,1200,4,7,8.75,313,258
0,1200,7,3,19.16,205,136
1,1100,NA,NA,0.75,5,NA
0,1200,5,7,7.33,367,387
1,1300,2,6,6.58,-48,-45
0,1200,5,3,29,97,141
0,1300,6,6,22.41,316,336
0,1100,NA,NA,6.25,-44,827
0,1200,4,9,15.08,-27,-27
0,1200,5,7,32.08,6,-26
0,1200,3,6,6.91,-13,733
0,1300,NA,NA,1.25,-43,NA
0,1200,NA,NA,0.41,362,231
0,1200,NA,NA,8.41,7,-9
0,1100,3,1,3.75,-67,-105
0,1200,4,6,2.83,-34,NA
1,1300,NA,NA,3.33,191,NA
0,1200,NA,NA,5.41,-30,-31
0,1200,7,3,15.08,277,54
0,1300,NA,NA,1.25,4,21
1,1200,5,8,6.75,16,64
1,1200,4,9,10.25,703,156
0,1200,3,6,7.66,-36,82
1,1200,6,9,29.41,238,249
0,1200,NA,NA,4.16,-47,14
0,1300,7,3,2.5,220,-19
0,1100,4,6,11.66,-213,-143
0,1100,4,6,6.16,-41,0
0,1200,4,6,3.91,253,121
0,1200,1,1,6.41,-29,-2
0,1200,5,9,2.58,-126,-40
0,1200,NA,NA,7.75,-38,NA
0,1200,2,5,5.16,83,408
0,1200,3,6,4.66,73,99
0,1200,3,8,1.5,-5,9
0,1200,3,7,7.08,380,212
0,1200,6,1,34.5,-56,95
0,1200,5,9,11.08,51,64
0,1200,6,7,4.58,56,22
1,1200,2,7,3.75,-90,-4
